remediation_id,vulnerability_id,asset_id,assigned_to,assigned_date,due_date,completed_date,status,verification_status
REM-000086,VUL-000122,AST-00068,engineer14@example.com,2026-04-16,2026-05-14,2026-07-03,COMPLETE,VERIFIED
REM-000087,VUL-000123,AST-00069,engineer5@example.com,2026-04-03,2026-06-30,2026-05-29,COMPLETE,VERIFIED
REM-000088,VUL-000124,AST-00069,engineer4@example.com,2026-03-26,2026-05-25,2026-05-01,COMPLETE,VERIFIED
REM-000089,VUL-000125,AST-00069,engineer7@example.com,2026-04-21,2026-05-20,,IN_PROGRESS,PENDING
REM-000090,VUL-000126,AST-00069,engineer5@example.com,2026-03-17,2026-05-16,2026-05-12,COMPLETE,VERIFIED
REM-000091,VUL-000127,AST-00069,engineer13@example.com,2026-05-11,2026-05-23,2026-06-24,COMPLETE,VERIFIED
REM-000092,VUL-000128,AST-00069,engineer20@example.com,2026-04-29,2026-07-28,2026-07-12,COMPLETE,UNVERIFIED
REM-000093,VUL-000130,AST-00070,engineer8@example.com,2026-03-27,2026-06-24,2026-06-08,COMPLETE,VERIFIED
REM-000094,VUL-000131,AST-00070,engineer12@example.com,2026-05-05,2026-06-01,2026-06-04,COMPLETE,VERIFIED
REM-000095,VUL-000132,AST-00071,engineer8@example.com,2026-04-29,2026-05-14,2026-06-18,COMPLETE,VERIFIED
REM-000096,VUL-000133,AST-00071,engineer12@example.com,2026-03-17,2026-04-01,2026-04-15,COMPLETE,VERIFIED
REM-000097,VUL-000136,AST-00074,engineer6@example.com,2026-03-22,2026-04-21,2026-06-01,COMPLETE,VERIFIED
REM-000098,VUL-000137,AST-00075,engineer6@example.com,2026-04-14,2026-04-28,2026-06-21,COMPLETE,VERIFIED
REM-000099,VUL-000138,AST-00076,engineer21@example.com,2026-03-14,2026-06-11,2026-03-31,COMPLETE,VERIFIED
REM-000100,VUL-000139,AST-00077,engineer3@example.com,2026-03-17,2026-04-15,2026-05-02,COMPLETE,VERIFIED
REM-000101,VUL-000140,AST-00077,engineer1@example.com,2026-04-09,2026-07-06,,IN_PROGRESS,PENDING
REM-000102,VUL-000141,AST-00077,engineer10@example.com,2026-03-11,2026-06-09,2026-03-29,COMPLETE,VERIFIED
REM-000103,VUL-000142,AST-00078,engineer22@example.com,2026-04-25,2026-05-10,,IN_PROGRESS,PENDING
REM-000104,VUL-000144,AST-00078,engineer23@example.com,2026-05-04,2026-05-18,2026-07-21,COMPLETE,VERIFIED
REM-000105,VUL-000145,AST-00079,engineer17@example.com,2026-04-29,2026-06-25,,IN_PROGRESS,PENDING
REM-000106,VUL-000146,AST-00079,engineer2@example.com,2026-04-25,2026-05-24,2026-07-03,COMPLETE,VERIFIED
REM-000107,VUL-000147,AST-00081,engineer23@example.com,2026-03-26,2026-06-24,2026-05-10,COMPLETE,VERIFIED
REM-000108,VUL-000148,AST-00081,engineer2@example.com,2026-03-21,2026-04-04,2026-05-31,COMPLETE,UNVERIFIED
REM-000109,VUL-000149,AST-00081,engineer10@example.com,2026-03-29,2026-04-26,2026-05-27,COMPLETE,VERIFIED
REM-000110,VUL-000150,AST-00082,engineer7@example.com,2026-05-07,2026-06-03,2026-05-12,COMPLETE,UNVERIFIED
REM-000111,VUL-000153,AST-00083,engineer15@example.com,2026-03-30,2026-06-26,2026-04-22,COMPLETE,UNVERIFIED
REM-000112,VUL-000154,AST-00085,engineer20@example.com,2026-05-04,2026-06-30,2026-05-12,COMPLETE,VERIFIED
REM-000113,VUL-000156,AST-00086,engineer19@example.com,2026-05-09,2026-06-07,2026-07-04,COMPLETE,UNVERIFIED
REM-000114,VUL-000157,AST-00086,engineer9@example.com,2026-03-13,2026-05-11,2026-05-16,COMPLETE,UNVERIFIED
REM-000115,VUL-000159,AST-00088,engineer21@example.com,2026-03-26,2026-06-22,2026-04-17,COMPLETE,VERIFIED
REM-000116,VUL-000160,AST-00088,engineer17@example.com,2026-04-01,2026-04-15,2026-05-12,COMPLETE,UNVERIFIED
REM-000117,VUL-000161,AST-00090,engineer3@example.com,2026-04-22,2026-06-19,2026-05-01,COMPLETE,VERIFIED
REM-000118,VUL-000162,AST-00090,engineer5@example.com,2026-04-12,2026-07-08,,IN_PROGRESS,PENDING
REM-000119,VUL-000163,AST-00091,engineer25@example.com,2026-03-18,2026-04-16,2026-06-06,COMPLETE,VERIFIED
REM-000120,VUL-000164,AST-00092,engineer14@example.com,2026-03-25,2026-04-23,2026-05-16,COMPLETE,UNVERIFIED
REM-000121,VUL-000165,AST-00092,engineer19@example.com,2026-03-16,2026-03-30,2026-04-12,COMPLETE,VERIFIED
REM-000122,VUL-000166,AST-00092,engineer17@example.com,2026-04-15,2026-04-30,2026-07-06,COMPLETE,VERIFIED
REM-000123,VUL-000167,AST-00092,engineer12@example.com,2026-04-21,2026-05-04,2026-05-01,COMPLETE,VERIFIED
REM-000124,VUL-000169,AST-00094,engineer25@example.com,2026-03-22,2026-04-18,2026-04-02,COMPLETE,VERIFIED
REM-000125,VUL-000172,AST-00097,engineer11@example.com,2026-04-09,2026-07-08,,IN_PROGRESS,PENDING
REM-000126,VUL-000174,AST-00097,engineer19@example.com,2026-04-16,2026-07-13,2026-07-02,COMPLETE,VERIFIED
REM-000127,VUL-000175,AST-00097,engineer17@example.com,2026-04-04,2026-07-03,,IN_PROGRESS,PENDING
REM-000128,VUL-000176,AST-00098,engineer19@example.com,2026-04-19,2026-05-19,2026-05-21,COMPLETE,VERIFIED
REM-000129,VUL-000177,AST-00098,engineer10@example.com,2026-04-08,2026-06-05,2026-04-11,COMPLETE,VERIFIED
REM-000130,VUL-000179,AST-00099,engineer13@example.com,2026-04-09,2026-06-05,2026-06-16,COMPLETE,VERIFIED
REM-000131,VUL-000180,AST-00099,engineer1@example.com,2026-04-17,2026-04-30,,IN_PROGRESS,PENDING
REM-000132,VUL-000181,AST-00100,engineer17@example.com,2026-04-09,2026-07-06,2026-05-31,COMPLETE,VERIFIED
REM-000133,VUL-000182,AST-00100,engineer23@example.com,2026-03-27,2026-06-25,2026-05-31,COMPLETE,UNVERIFIED
REM-000134,VUL-000183,AST-00100,engineer17@example.com,2026-04-03,2026-05-03,,IN_PROGRESS,PENDING
REM-000135,VUL-000184,AST-00101,engineer21@example.com,2026-04-18,2026-06-16,2026-06-12,COMPLETE,VERIFIED
REM-000136,VUL-000185,AST-00101,engineer23@example.com,2026-03-31,2026-05-27,2026-06-07,COMPLETE,VERIFIED
REM-000137,VUL-000186,AST-00102,engineer11@example.com,2026-03-15,2026-03-29,2026-03-24,COMPLETE,VERIFIED
REM-000138,VUL-000187,AST-00102,engineer20@example.com,2026-04-25,2026-05-07,2026-05-25,COMPLETE,UNVERIFIED
REM-000139,VUL-000188,AST-00102,engineer12@example.com,2026-04-14,2026-05-12,2026-05-24,COMPLETE,VERIFIED
REM-000140,VUL-000189,AST-00107,engineer12@example.com,2026-05-05,2026-08-02,2026-06-24,COMPLETE,UNVERIFIED
REM-000141,VUL-000190,AST-00107,engineer2@example.com,2026-04-22,2026-07-21,2026-07-16,COMPLETE,VERIFIED
REM-000142,VUL-000191,AST-00107,engineer22@example.com,2026-03-29,2026-04-27,2026-06-01,COMPLETE,VERIFIED
REM-000143,VUL-000192,AST-00108,engineer25@example.com,2026-04-02,2026-05-29,2026-06-19,COMPLETE,VERIFIED
REM-000144,VUL-000193,AST-00108,engineer25@example.com,2026-04-27,2026-05-24,2026-06-17,COMPLETE,UNVERIFIED
REM-000145,VUL-000194,AST-00108,engineer16@example.com,2026-05-03,2026-05-15,2026-06-25,COMPLETE,VERIFIED
REM-000146,VUL-000195,AST-00109,engineer12@example.com,2026-03-22,2026-05-20,2026-04-19,COMPLETE,VERIFIED
REM-000147,VUL-000197,AST-00111,engineer5@example.com,2026-05-10,2026-07-09,2026-05-26,COMPLETE,VERIFIED
REM-000148,VUL-000198,AST-00111,engineer5@example.com,2026-04-10,2026-06-06,2026-06-01,COMPLETE,UNVERIFIED
REM-000149,VUL-000199,AST-00111,engineer16@example.com,2026-05-08,2026-06-06,,IN_PROGRESS,PENDING
REM-000150,VUL-000200,AST-00112,engineer20@example.com,2026-04-27,2026-06-23,2026-07-17,COMPLETE,VERIFIED
REM-000151,VUL-000201,AST-00112,engineer2@example.com,2026-04-23,2026-05-20,,IN_PROGRESS,PENDING
REM-000152,VUL-000205,AST-00114,engineer11@example.com,2026-03-17,2026-04-14,2026-05-12,COMPLETE,UNVERIFIED
REM-000153,VUL-000206,AST-00114,engineer18@example.com,2026-04-21,2026-06-18,2026-05-14,COMPLETE,UNVERIFIED
REM-000154,VUL-000207,AST-00115,engineer15@example.com,2026-03-29,2026-04-25,,IN_PROGRESS,PENDING
REM-000155,VUL-000208,AST-00115,engineer24@example.com,2026-04-25,2026-07-22,2026-04-28,COMPLETE,UNVERIFIED
REM-000156,VUL-000211,AST-00116,engineer14@example.com,2026-04-08,2026-07-07,2026-06-21,COMPLETE,VERIFIED
REM-000157,VUL-000214,AST-00117,engineer22@example.com,2026-05-07,2026-06-05,2026-06-11,COMPLETE,VERIFIED
REM-000158,VUL-000215,AST-00117,engineer22@example.com,2026-04-25,2026-06-21,2026-05-28,COMPLETE,UNVERIFIED
REM-000159,VUL-000216,AST-00117,engineer5@example.com,2026-05-06,2026-07-05,2026-07-01,COMPLETE,VERIFIED
REM-000160,VUL-000217,AST-00119,engineer11@example.com,2026-04-15,2026-06-13,2026-06-24,COMPLETE,UNVERIFIED
REM-000161,VUL-000218,AST-00119,engineer25@example.com,2026-03-27,2026-04-25,2026-05-08,COMPLETE,VERIFIED
REM-000162,VUL-000219,AST-00119,engineer9@example.com,2026-03-29,2026-06-24,2026-05-22,COMPLETE,VERIFIED
REM-000163,VUL-000221,AST-00120,engineer13@example.com,2026-04-29,2026-07-28,2026-05-10,COMPLETE,VERIFIED
REM-000164,VUL-000222,AST-00121,engineer25@example.com,2026-03-17,2026-05-15,2026-05-08,COMPLETE,UNVERIFIED
REM-000165,VUL-000223,AST-00121,engineer5@example.com,2026-03-15,2026-03-27,2026-05-26,COMPLETE,VERIFIED
REM-000166,VUL-000224,AST-00122,engineer12@example.com,2026-04-10,2026-07-06,2026-04-17,COMPLETE,VERIFIED
REM-000167,VUL-000225,AST-00123,engineer10@example.com,2026-04-08,2026-05-08,,IN_PROGRESS,PENDING
REM-000168,VUL-000227,AST-00124,engineer4@example.com,2026-05-02,2026-05-15,2026-06-29,COMPLETE,VERIFIED
REM-000169,VUL-000228,AST-00125,engineer9@example.com,2026-03-25,2026-06-22,2026-04-15,COMPLETE,VERIFIED
REM-000170,VUL-000231,AST-00126,engineer2@example.com,2026-04-23,2026-06-22,,IN_PROGRESS,PENDING
REM-000171,VUL-000233,AST-00127,engineer10@example.com,2026-05-09,2026-07-06,2026-06-24,COMPLETE,UNVERIFIED
REM-000172,VUL-000234,AST-00128,engineer18@example.com,2026-04-28,2026-05-26,2026-06-14,COMPLETE,VERIFIED
REM-000173,VUL-000235,AST-00129,engineer12@example.com,2026-05-10,2026-06-07,2026-06-25,COMPLETE,VERIFIED
REM-000174,VUL-000238,AST-00131,engineer12@example.com,2026-04-17,2026-06-14,2026-04-21,COMPLETE,UNVERIFIED
REM-000175,VUL-000239,AST-00131,engineer4@example.com,2026-03-25,2026-06-22,2026-04-27,COMPLETE,VERIFIED
REM-000176,VUL-000240,AST-00131,engineer7@example.com,2026-05-01,2026-06-29,2026-06-16,COMPLETE,VERIFIED
REM-000177,VUL-000242,AST-00133,engineer23@example.com,2026-04-17,2026-04-29,2026-07-04,COMPLETE,UNVERIFIED
REM-000178,VUL-000244,AST-00134,engineer14@example.com,2026-04-28,2026-06-24,2026-07-18,COMPLETE,VERIFIED
REM-000179,VUL-000245,AST-00139,engineer25@example.com,2026-04-29,2026-07-26,2026-05-27,COMPLETE,VERIFIED
REM-000180,VUL-000246,AST-00139,engineer1@example.com,2026-04-30,2026-07-29,2026-06-14,COMPLETE,VERIFIED
REM-000181,VUL-000247,AST-00140,engineer10@example.com,2026-03-13,2026-05-12,2026-05-20,COMPLETE,VERIFIED
REM-000182,VUL-000248,AST-00140,engineer3@example.com,2026-03-17,2026-05-13,2026-04-18,COMPLETE,VERIFIED
REM-000183,VUL-000250,AST-00142,engineer22@example.com,2026-03-29,2026-05-26,2026-05-17,COMPLETE,VERIFIED
REM-000184,VUL-000252,AST-00143,engineer25@example.com,2026-03-20,2026-05-17,2026-04-29,COMPLETE,VERIFIED
REM-000185,VUL-000253,AST-00144,engineer19@example.com,2026-04-03,2026-06-29,,IN_PROGRESS,PENDING
REM-000186,VUL-000256,AST-00144,engineer8@example.com,2026-03-22,2026-04-05,2026-04-06,COMPLETE,VERIFIED
REM-000187,VUL-000257,AST-00144,engineer2@example.com,2026-03-29,2026-04-25,2026-06-12,COMPLETE,UNVERIFIED
REM-000188,VUL-000258,AST-00145,engineer3@example.com,2026-04-25,2026-05-09,2026-05-29,COMPLETE,VERIFIED
REM-000189,VUL-000259,AST-00145,engineer2@example.com,2026-04-05,2026-04-17,,IN_PROGRESS,PENDING
REM-000190,VUL-000260,AST-00145,engineer21@example.com,2026-04-10,2026-06-07,2026-05-08,COMPLETE,VERIFIED
REM-000191,VUL-000261,AST-00146,engineer2@example.com,2026-04-13,2026-07-12,2026-06-20,COMPLETE,VERIFIED
REM-000192,VUL-000262,AST-00147,engineer20@example.com,2026-05-01,2026-05-15,,IN_PROGRESS,PENDING
REM-000193,VUL-000263,AST-00148,engineer3@example.com,2026-04-05,2026-04-20,2026-06-16,COMPLETE,VERIFIED
REM-000194,VUL-000264,AST-00148,engineer6@example.com,2026-03-29,2026-06-26,2026-05-18,COMPLETE,VERIFIED
REM-000195,VUL-000265,AST-00148,engineer10@example.com,2026-04-06,2026-04-18,2026-04-16,COMPLETE,VERIFIED
REM-000196,VUL-000266,AST-00148,engineer22@example.com,2026-03-28,2026-04-26,2026-04-20,COMPLETE,VERIFIED
REM-000197,VUL-000268,AST-00149,engineer23@example.com,2026-05-04,2026-08-01,2026-06-18,COMPLETE,VERIFIED
REM-000198,VUL-000269,AST-00149,engineer8@example.com,2026-03-26,2026-04-22,2026-04-30,COMPLETE,VERIFIED
REM-000199,VUL-000271,AST-00150,engineer6@example.com,2026-05-01,2026-05-31,2026-06-23,COMPLETE,UNVERIFIED
REM-000200,VUL-000272,AST-00150,engineer18@example.com,2026-04-10,2026-04-24,2026-04-21,COMPLETE,VERIFIED
REM-000201,VUL-000274,AST-00153,engineer17@example.com,2026-04-18,2026-07-14,2026-07-06,COMPLETE,VERIFIED
REM-000202,VUL-000275,AST-00153,engineer18@example.com,2026-05-07,2026-05-22,2026-06-21,COMPLETE,VERIFIED
REM-000203,VUL-000276,AST-00153,engineer17@example.com,2026-04-24,2026-05-08,2026-05-23,COMPLETE,VERIFIED
REM-000204,VUL-000277,AST-00153,engineer17@example.com,2026-04-18,2026-06-14,,IN_PROGRESS,PENDING
REM-000205,VUL-000278,AST-00154,engineer25@example.com,2026-03-15,2026-04-14,2026-05-01,COMPLETE,UNVERIFIED
REM-000206,VUL-000281,AST-00154,engineer14@example.com,2026-03-26,2026-04-22,2026-06-05,COMPLETE,VERIFIED
REM-000207,VUL-000282,AST-00155,engineer5@example.com,2026-03-20,2026-04-17,2026-04-22,COMPLETE,VERIFIED
REM-000208,VUL-000283,AST-00155,engineer10@example.com,2026-04-22,2026-07-20,2026-05-31,COMPLETE,VERIFIED
REM-000209,VUL-000284,AST-00155,engineer6@example.com,2026-04-09,2026-04-24,2026-06-04,COMPLETE,VERIFIED
REM-000210,VUL-000285,AST-00156,engineer14@example.com,2026-04-18,2026-04-30,2026-06-04,COMPLETE,VERIFIED
REM-000211,VUL-000286,AST-00156,engineer5@example.com,2026-03-22,2026-04-04,2026-04-16,COMPLETE,VERIFIED
REM-000212,VUL-000287,AST-00156,engineer10@example.com,2026-05-09,2026-05-21,2026-06-28,COMPLETE,VERIFIED
REM-000213,VUL-000288,AST-00156,engineer9@example.com,2026-05-06,2026-05-21,2026-06-01,COMPLETE,VERIFIED
REM-000214,VUL-000290,AST-00157,engineer25@example.com,2026-03-13,2026-04-11,2026-03-28,COMPLETE,VERIFIED
REM-000215,VUL-000291,AST-00158,engineer25@example.com,2026-04-21,2026-06-19,,IN_PROGRESS,PENDING
REM-000216,VUL-000292,AST-00158,engineer20@example.com,2026-05-13,2026-05-25,2026-07-06,COMPLETE,UNVERIFIED
REM-000217,VUL-000293,AST-00159,engineer8@example.com,2026-04-19,2026-07-15,,IN_PROGRESS,PENDING
REM-000218,VUL-000294,AST-00160,engineer20@example.com,2026-03-23,2026-04-19,2026-05-31,COMPLETE,UNVERIFIED
REM-000219,VUL-000295,AST-00160,engineer17@example.com,2026-04-22,2026-07-19,2026-07-08,COMPLETE,VERIFIED
REM-000220,VUL-000296,AST-00160,engineer15@example.com,2026-03-16,2026-05-12,2026-04-01,COMPLETE,UNVERIFIED
REM-000221,VUL-000297,AST-00162,engineer9@example.com,2026-04-09,2026-06-06,2026-05-06,COMPLETE,VERIFIED
REM-000222,VUL-000299,AST-00164,engineer10@example.com,2026-04-25,2026-06-23,2026-06-17,COMPLETE,VERIFIED
